Cidade,Monumento,Domestico-2019-20,Estrangeiro-2019-20,Domestico-2020-21,Estrangeiro-2020-21,Crescimento-Domestico-21/19,Crescimento-Estrangeiro-21/19,Avaliacao
5,127,1997427.0,5294.0,530886.0,142.0,-73.42,-97.32,1
5,9,311115.0,2489.0,73727.0,57.0,-76.3,-97.71,1
5,106,16916.0,506.0,8237.0,3.0,-51.31,-99.41,1
5,133,34562.0,571.0,20616.0,20.0,-40.35,-96.5,0
5,120,44573.0,389.0,18359.0,8.0,-58.81,-97.94,0
33,139,2404593.0,9249.0,651825.0,230.0,-72.89,-97.51,0
2,3,273344.0,15899.0,47554.0,82.0,-82.6,-99.48,0
2,45,1259261.0,21426.0,163313.0,159.0,-87.03,-99.26,0
2,138,1111778.0,9530.0,203791.0,100.0,-81.67,-98.95,1
2,41,515935.0,5729.0,105434.0,49.0,-79.56,-99.14,0
2,101,202871.0,1128.0,29.0,0.0,-99.99,-100.0,1
2,15,182032.0,2690.0,34976.0,19.0,-80.79,-99.29,1
33,139,3545221.0,56402.0,555097.0,409.0,-84.34,-99.27,1
22,44,686862.0,37891.0,82136.0,281.0,-88.04,-99.26,1
22,27,401808.0,12106.0,213.0,0.0,-99.95,-100.0,0
22,122,1128072.0,8505.0,160547.0,87.0,-85.77,-98.98,0
22,0,219939.0,9264.0,18963.0,55.0,-91.38,-99.41,1
22,31,354946.0,105.0,73899.0,6.0,-79.18,-94.29,0
22,33,219758.0,2068.0,51045.0,21.0,-76.77,-98.98,0
22,32,80319.0,1872.0,10976.0,24.0,-86.33,-98.72,1
22,105,218338.0,82.0,76438.0,0.0,-64.99,-100.0,1
22,82,112405.0,112.0,50421.0,12.0,-55.14,-89.29,0
22,97,62238.0,45.0,11293.0,1.0,-81.86,-97.78,1
22,76,253315.0,151.0,149221.0,7.0,-41.09,-95.36,0
22,83,41490.0,591.0,167.0,0.0,-99.6,-100.0,1
22,86,161651.0,579.0,31042.0,21.0,-80.8,-96.37,0
33,139,3941141.0,73371.0,716361.0,515.0,-81.82,-99.3,0
23,55,43795.0,11.0,5.0,0.0,-99.99,-100.0,1
23,6,1596.0,65.0,8.0,0.0,-99.5,-100.0,0
33,139,45391.0,76.0,13.0,0.0,-99.97,-100.0,1
6,129,91447.0,72.0,11132.0,14.0,-87.83,-80.56,1
6,123,39763.0,46.0,30292.0,75.0,-23.82,63.04,0
33,139,131210.0,118.0,41424.0,89.0,-68.43,-24.58,1
8,81,1782.0,45.0,3002.0,10.0,68.46,-77.78,1
8,126,530.0,6.0,22969.0,233.0,4233.77,3783.33,0
